scheme,B,trial,time_ns
PSVFSS,1000,45,7351101
PSVFSS,1000,46,6694467
PSVFSS,1000,47,6493644
PSVFSS,1000,48,6313570
PSVFSS,1000,49,6512750
PSVFSS,1000,50,6380264
PSVFSS,1000,51,6545962
PSVFSS,1000,52,6287832
PSVFSS,1000,53,6382979
PSVFSS,1000,54,6363994
PSVFSS,1000,55,6178830
PSVFSS,1000,56,6278665
PSVFSS,1000,57,7996775
PSVFSS,1000,58,6321806
PSVFSS,1000,59,6438482
PSVFSS,1000,60,6076170
PSVFSS,1000,61,6382589
PSVFSS,1000,62,6653175
PSVFSS,1000,63,6489687
PSVFSS,1000,64,8064531
PSVFSS,1000,65,6525584
PSVFSS,1000,66,6555319
PSVFSS,1000,67,6301257
PSVFSS,1000,68,7332668
PSVFSS,1000,69,6612676
PSVFSS,1000,70,6392056
PSVFSS,1000,71,6534049
PSVFSS,1000,72,6337244
PSVFSS,1000,73,6327827
PSVFSS,1000,74,6422162
PSVFSS,1000,75,6435136
PSVFSS,1000,76,6230596
PSVFSS,1000,77,6343916
PSVFSS,1000,78,6447048
PSVFSS,1000,79,6325763
PSVFSS,1000,80,6241286
PSVFSS,1000,81,6935976
PSVFSS,1000,82,6524863
PSVFSS,1000,83,6432170
PSVFSS,1000,84,6198377
PSVFSS,1000,85,6466129
PSVFSS,1000,86,6536264
PSVFSS,1000,87,6313930
PSVFSS,1000,88,6229945
PSVFSS,1000,89,6274247
PSVFSS,1000,90,6486391
PSVFSS,1000,91,6346080
PSVFSS,1000,92,6669301
PSVFSS,1000,93,6319431
PSVFSS,1000,94,6279036
PSVFSS,1000,95,6312558
PSVFSS,1000,96,6253149
PSVFSS,1000,97,7195192
PSVFSS,1000,98,6220472
PSVFSS,1000,99,6359735
PPS-GC,10,0,131033
PPS-GC,10,1,130572
PPS-GC,10,2,229787
PPS-GC,10,3,130452
PPS-GC,10,4,135331
PPS-GC,10,5,131364
PPS-GC,10,6,130853
PPS-GC,10,7,129049
PPS-GC,10,8,126214
PPS-GC,10,9,126324
PPS-GC,10,10,224948
PPS-GC,10,11,140411
PPS-GC,10,12,230849
PPS-GC,10,13,205702
PPS-GC,10,14,142394
PPS-GC,10,15,145430
PPS-GC,10,16,142134
PPS-GC,10,17,139249
PPS-GC,10,18,137084
PPS-GC,10,19,205332
PPS-GC,10,20,151231
PPS-GC,10,21,139058
PPS-GC,10,22,215019
PPS-GC,10,23,142224
PPS-GC,10,24,142715
PPS-GC,10,25,216983
PPS-GC,10,26,135782
PPS-GC,10,27,128880
PPS-GC,10,28,126525
PPS-GC,10,29,122017
PPS-GC,10,30,122017
PPS-GC,10,31,133769
PPS-GC,10,32,122387
PPS-GC,10,33,121806
PPS-GC,10,34,206042
PPS-GC,10,35,118480
PPS-GC,10,36,112639
PPS-GC,10,37,113240
PPS-GC,10,38,112950
PPS-GC,10,39,110045
PPS-GC,10,40,218666
PPS-GC,10,41,110034
PPS-GC,10,42,110285
PPS-GC,10,43,109233
PPS-GC,10,44,106457
PPS-GC,10,45,105145
PPS-GC,10,46,211353
PPS-GC,10,47,107540
PPS-GC,10,48,113130
PPS-GC,10,49,110945
PPS-GC,10,50,110355
PPS-GC,10,51,108822
PPS-GC,10,52,107088
PPS-GC,10,53,203668
PPS-GC,10,54,100226
PPS-GC,10,55,159647
PPS-GC,10,56,100186
PPS-GC,10,57,202526
PPS-GC,10,58,102510
PPS-GC,10,59,141874
PPS-GC,10,60,111968
PPS-GC,10,61,212555
PPS-GC,10,62,133588
PPS-GC,10,63,108902
PPS-GC,10,64,213065
PPS-GC,10,65,159547
PPS-GC,10,66,103402
PPS-GC,10,67,104884
PPS-GC,10,68,140701
PPS-GC,10,69,110344
PPS-GC,10,70,112639
PPS-GC,10,71,119291
PPS-GC,10,72,120314
PPS-GC,10,73,161540
PPS-GC,10,74,118360
PPS-GC,10,75,117719
PPS-GC,10,76,118199
PPS-GC,10,77,122046
PPS-GC,10,78,128849
PPS-GC,10,79,126875
PPS-GC,10,80,228925
PPS-GC,10,81,134470
PPS-GC,10,82,136263
PPS-GC,10,83,134309
PPS-GC,10,84,159566
PPS-GC,10,85,127076
PPS-GC,10,86,126224
PPS-GC,10,87,217774
PPS-GC,10,88,123078
PPS-GC,10,89,215089
PPS-GC,10,90,213627
PPS-GC,10,91,293886
PPS-GC,10,92,116156
PPS-GC,10,93,225388
PPS-GC,10,94,111277
PPS-GC,10,95,279719
PPS-GC,10,96,111426
PPS-GC,10,97,109743
PPS-GC,10,98,220509
PPS-GC,10,99,110916
PPS-GC,32,0,314123
PPS-GC,32,1,409570
PPS-GC,32,2,581589
PPS-GC,32,3,347244
PPS-GC,32,4,340512
PPS-GC,32,5,358195
PPS-GC,32,6,342746
PPS-GC,32,7,352214
PPS-GC,32,8,320896
PPS-GC,32,9,315266
PPS-GC,32,10,332498
PPS-GC,32,11,322459
PPS-GC,32,12,689961
PPS-GC,32,13,306509
PPS-GC,32,14,690582
PPS-GC,32,15,306349
PPS-GC,32,16,308132
PPS-GC,32,17,314123
PPS-GC,32,18,306118
PPS-GC,32,19,692426
PPS-GC,32,20,306258
PPS-GC,32,21,709217
PPS-GC,32,22,575799
PPS-GC,32,23,311378
PPS-GC,32,24,306409
PPS-GC,32,25,306940
PPS-GC,32,26,307661
PPS-GC,32,27,306789
PPS-GC,32,28,306259
PPS-GC,32,29,306258
PPS-GC,32,30,910780
PPS-GC,32,31,306519
PPS-GC,32,32,766273
PPS-GC,32,33,306780
PPS-GC,32,34,306349
PPS-GC,32,35,690171
PPS-GC,32,36,306689
PPS-GC,32,37,306550
PPS-GC,32,38,308203
PPS-GC,32,39,310015
PPS-GC,32,40,309595
PPS-GC,32,41,308462
PPS-GC,32,42,315445
PPS-GC,32,43,307882
PPS-GC,32,44,310747
PPS-GC,32,45,331836
PPS-GC,32,46,346743
PPS-GC,32,47,351843
PPS-GC,32,48,348708
PPS-GC,32,49,587992
PPS-GC,32,50,696743
PPS-GC,32,51,357694
PPS-GC,32,52,356642
PPS-GC,32,53,365398
PPS-GC,32,54,386908
PPS-GC,32,55,376899
PPS-GC,32,56,376749
PPS-GC,32,57,507702
PPS-GC,32,58,369566
PPS-GC,32,59,680283
PPS-GC,32,60,431641
